"","rank","name","state_name","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"593",24,"Pace University-New York","New-York",59800,107800,40,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"594",24,"Stony Brook University","New-York",59200,107800,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"595",1,"Duke University","North-Carolina",71100,132100,50,26,"North Carolina","NC","Private","4 Year",15178,55695,70873,55695,70873
"596",2,"Wake Forest University","North-Carolina",60700,114800,44,13,"North Carolina","NC","Private","4 Year",16032,53322,69354,53322,69354
"597",3,"Davidson College","North-Carolina",57300,106900,50,28,"North Carolina","NC","Private","4 Year",14372,51447,65819,51447,65819
"598",4,"North Carolina State University at Raleigh","North-Carolina",57300,106500,52,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599",5,"University of North Carolina at Chapel Hill","North-Carolina",55000,100800,49,19,"North Carolina","NC","Public","4 Year",11190,8987,20177,35170,46360
"600",6,"Elon University","North-Carolina",53600,93700,43,7,"North Carolina","NC","Private","4 Year",12230,35319,47549,35319,47549
"601",7,"North Carolina A & T State University","North-Carolina",52600,93400,61,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"602",8,"University of North Carolina at Charlotte","North-Carolina",52500,92600,49,25,"North Carolina","NC","Public","4 Year",11100,7044,18144,20478,31578
"603",9,"Queens University of Charlotte","North-Carolina",49400,86600,48,9,"North Carolina","NC","Private","4 Year",10860,34684,45544,34684,45544
"604",10,"Lenoir-Rhyne University","North-Carolina",46400,86300,54,7,"North Carolina","NC","Private","4 Year",12510,36400,48910,36400,48910
"605",11,"East Carolina University","North-Carolina",48400,85400,55,11,"North Carolina","NC","Public","4 Year",9606,7188,16794,23465,33071
"606",12,"High Point University","North-Carolina",48600,84300,50,8,"North Carolina","NC","Private","4 Year",14130,35118,49248,35118,49248
"607",13,"Johnson C Smith University","North-Carolina",45700,83300,57,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"608",14,"Belmont Abbey College","North-Carolina",46700,82900,49,7,"North Carolina","NC","Private","4 Year",10355,18500,28855,18500,28855
"609",15,"Appalachian State University","North-Carolina",46600,82700,47,9,"North Carolina","NC","Public","4 Year",8304,7214,15518,22021,30325
"610",16,"Campbell University","North-Carolina",46300,82400,56,8,"North Carolina","NC","Private","4 Year",11430,32500,43930,32500,43930
"611",16,"University of North Carolina School of the Arts","North-Carolina",46400,82400,44,0,"North Carolina","NC","Public","4 Year",9021,9358,18379,25501,34522
"612",18,"John Wesley University","North-Carolina",45100,82100,NA,0,"North Carolina","NC","Private","4 Year",3600,13330,16930,13330,16930
"613",19,"University of North Carolina Wilmington","North-Carolina",46400,80500,47,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614",19,"Methodist University","North-Carolina",45800,80500,58,9,"North Carolina","NC","Private","4 Year",12890,33846,46736,33846,46736
"615",21,"North Carolina Wesleyan College","North-Carolina",45300,78800,62,8,"North Carolina","NC","Private","4 Year",10800,31000,41800,31000,41800
"616",22,"Catawba College","North-Carolina",42500,78100,58,11,"North Carolina","NC","Private","4 Year",10488,30520,41008,30520,41008
"617",23,"Pfeiffer University","North-Carolina",44200,78000,51,4,"North Carolina","NC","Private","4 Year",11226,30234,41460,30234,41460
"618",24,"Barton College","North-Carolina",42400,77900,62,6,"North Carolina","NC","Private","4 Year",10120,30880,41000,30880,41000
"619",25,"Western Carolina University","North-Carolina",44700,77700,58,8,"North Carolina","NC","Public","4 Year",9682,4220,13902,8220,17902
"620",1,"North Dakota State University-Main Campus","North-Dakota",54200,98600,56,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"621",2,"University of North Dakota","North-Dakota",53800,96000,54,16,"North Dakota","ND","Public","4 Year",8974,8695,17669,20759,29733
"622",3,"University of Jamestown","North-Dakota",47600,85400,64,11,"North Dakota","ND","Private","4 Year",7570,21976,29546,21976,29546
"623",4,"Mayville State University","North-Dakota",43700,81300,44,10,"North Dakota","ND","Public","4 Year",7840,6666,14506,9399,17239
"624",5,"Dickinson State University","North-Dakota",46400,81200,55,8,"North Dakota","ND","Public","4 Year",6898,6765,13663,9544,16442
"625",6,"University of Mary","North-Dakota",46400,79100,64,3,"North Dakota","ND","Private","4 Year",6890,18720,25610,18720,25610
"626",7,"Minot State University","North-Dakota",44500,74100,55,7,"North Dakota","ND","Public","4 Year",6610,7064,13674,7064,13674
"627",8,"Valley City State University","North-Dakota",39900,68600,56,3,"North Dakota","ND","Public","4 Year",6446,7626,14072,17166,23612
"628",9,"Trinity Bible College and Graduate School","North-Dakota",34100,61300,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629",1,"Case Western Reserve University","Ohio",66600,117800,44,37,"Ohio","OH","Private","4 Year",15190,49042,64232,49042,64232
"630",2,"Miami University-Oxford","Ohio",57200,107300,46,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"631",3,"Wittenberg University","Ohio",52400,105400,61,22,"Ohio","OH","Private","4 Year",10356,39500,49856,39500,49856
"632",4,"University of Dayton","Ohio",57400,105000,44,33,"Ohio","OH","Private","4 Year",13580,42900,56480,42900,56480
"633",5,"Denison University","Ohio",54400,104800,45,22,"Ohio","OH","Private","4 Year",12710,51960,64670,51960,64670
"634",6,"Ohio Northern University","Ohio",54400,103900,49,22,"Ohio","OH","Private","4 Year",11650,32260,43910,32260,43910
"635",7,"Kenyon College","Ohio",55000,103800,50,17,"Ohio","OH","Private","4 Year",12510,55930,68440,55930,68440
"636",8,"Mount Carmel College of Nursing","Ohio",56600,99700,78,0,"Ohio","OH","Private","4 Year",5000,13907,18907,13907,18907
"637",9,"Ohio Wesleyan University","Ohio",51300,99200,46,21,"Ohio","OH","Private","4 Year",12430,45760,58190,45760,58190
"638",10,"Ohio State University-Main Campus","Ohio",55300,98600,49,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639",11,"John Carroll University","Ohio",51600,97300,39,16,"Ohio","OH","Private","4 Year",11874,41340,53214,41340,53214
"640",11,"University of Cincinnati-Main Campus","Ohio",53600,97300,50,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"641",13,"Oberlin College","Ohio",53100,96800,47,21,"Ohio","OH","Private","4 Year",16338,55054,71392,55054,71392
"642",14,"Kettering College","Ohio",54300,95800,NA,0,"Ohio","OH","Private","4 Year",4100,16200,20300,16200,20300
"643",15,"Marietta College","Ohio",51200,94300,57,45,"Ohio","OH","Private","4 Year",11320,36040,47360,36040,47360
"644",16,"Xavier University","Ohio",51800,94000,46,7,"Ohio","OH","Private","4 Year",12780,38530,51310,38530,51310
"645",17,"Ohio University-Main Campus","Ohio",51400,93300,47,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"646",18,"University of Toledo","Ohio",51800,92500,52,21,"Ohio","OH","Public","4 Year",11434,9795,21229,19133,30567
"647",19,"The College of Wooster","Ohio",49200,91300,56,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"648",20,"University of Akron Main Campus","Ohio",50700,89200,48,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649",21,"Cleveland State University","Ohio",48300,88600,51,20,"Ohio","OH","Public","4 Year",13560,10625,24185,14992,28552
"650",22,"University of Mount Union","Ohio",48300,88500,41,19,"Ohio","OH","Private","4 Year",10200,31260,41460,31260,41460
"651",23,"The University of Findlay","Ohio",49100,87900,53,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652",24,"Wright State University-Main Campus","Ohio",50300,87800,49,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653",25,"Bowling Green State University-Main Campus","Ohio",47200,87500,45,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"654",1,"University of Tulsa","Oklahoma",58700,107200,51,36,"Oklahoma","OK","Private","4 Year",11116,41509,52625,41509,52625
"655",2,"University of Oklahoma-Health Sciences Center","Oklahoma",57100,102100,68,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"656",3,"University of Oklahoma-Norman Campus","Oklahoma",54400,100600,52,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"657",4,"Oklahoma State University-Main Campus","Oklahoma",52800,98600,54,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"658",5,"Oklahoma State University Institute of Technology","Oklahoma",52600,92300,53,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"659",6,"Southwestern Oklahoma State University","Oklahoma",47900,90800,58,5,"Oklahoma","OK","Public","4 Year",5830,7035,12865,13935,19765
"660",7,"Oklahoma City University","Oklahoma",47700,87900,58,9,"Oklahoma","OK","Private","4 Year",8896,31026,39922,31026,39922
"661",7,"Oklahoma Christian University","Oklahoma",49700,87900,57,41,"Oklahoma","OK","Private","4 Year",8190,22760,30950,22760,30950
"662",9,"Oral Roberts University","Oklahoma",45900,85100,59,8,"Oklahoma","OK","Private","4 Year",9450,27728,37178,27728,37178
"663",10,"University of Central Oklahoma","Oklahoma",45300,82900,56,8,"Oklahoma","OK","Public","4 Year",7970,7488,15458,18376,26346
"664",11,"Langston University","Oklahoma",46500,81500,66,8,"Oklahoma","OK","Public","4 Year",9476,5950,15426,13300,22776
"665",11,"Cameron University","Oklahoma",43900,81500,54,14,"Oklahoma","OK","Public","4 Year",5452,6450,11902,15870,21322
"666",13,"Southern Nazarene University","Oklahoma",46100,81000,62,5,"Oklahoma","OK","Private","4 Year",8496,25188,33684,25188,33684
"667",14,"Southeastern Oklahoma State University","Oklahoma",45000,80500,53,15,"Oklahoma","OK","Public","4 Year",6970,6750,13720,15390,22360
"668",15,"Oklahoma Wesleyan University","Oklahoma",43300,78700,58,1,"Oklahoma","OK","Private","4 Year",8644,26956,35600,26956,35600
"669",16,"Northeastern State University","Oklahoma",44500,77600,58,7,"Oklahoma","OK","Public","4 Year",7638,6650,14288,14720,22358
"670",17,"East Central University","Oklahoma",44700,77500,66,9,"Oklahoma","OK","Public","4 Year",5514,6810,12324,17700,23214
"671",18,"Northwestern Oklahoma State University","Oklahoma",42200,76800,55,11,"Oklahoma","OK","Public","4 Year",4780,7036,11816,14153,18933
"672",19,"Oklahoma Baptist University","Oklahoma",43900,76600,62,8,"Oklahoma","OK","Private","4 Year",7350,28258,35608,28258,35608
"673",20,"Oklahoma Panhandle State University","Oklahoma",42300,74400,54,10,"Oklahoma","OK","Public","4 Year",4695,8194,12889,9133,13828
"674",21,"Mid-America Christian University","Oklahoma",40700,74100,71,0,"Oklahoma","OK","Private","4 Year",8036,18334,26370,18334,26370
"675",22,"Rogers State University","Oklahoma",41400,73800,48,11,"Oklahoma","OK","Public","4 Year",8616,6870,15486,15210,23826
